"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","APPLYED","RECNROIGNORED","RECNROINTERFACE","RECNROPROCESS","RECORDSMODIF","FILENAME","IFQUEUE","URL","ISXLSX","USERID","INITLINES","COLNROSTEALTH","COLSTATE","COLFECHAACT","COLFILTER","COLUSODOM"
3,2020-06-10 18:06:39.031,2020-06-10 18:06:39.031,323,323,0,2,2,0,0,,,,,,,,,,,
4,2020-06-10 18:07:09.704,2020-06-10 18:07:09.704,323,323,0,2,2,0,0,,,,,,,,,,,
5,2020-06-10 18:09:51.896,2020-06-10 18:09:51.896,323,323,0,2,2,0,0,,,,,,,,,,,
6,2020-06-10 18:11:09.507,2020-06-10 18:11:09.507,323,323,0,2,2,0,0,,,,,,,,,,,
65,2020-06-16 15:24:59.036,2020-06-16 15:25:35.892,323,323,1,2803,2810,7,7,,,,,,,,,,,
66,2020-06-17 09:24:41.957,2020-06-17 09:24:41.957,323,323,0,2810,2810,0,0,,,,,,,,,,,
81,2020-06-18 09:06:13.100,2020-06-18 09:06:18.726,323,323,1,3734,3747,13,15,,,,,,,,,,,
241,2020-07-02 08:34:52.972,2020-07-02 08:34:59.176,323,323,1,124,131,7,7,,,,,,,,,,,
242,2020-07-02 08:44:55.755,2020-07-02 08:44:55.755,323,323,0,131,131,0,0,,,,,,,,,,,
261,2020-07-04 12:37:05.489,2020-07-04 12:37:05.489,323,323,0,630,630,0,0,,,,,,,,,,,
