"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","MANID","PROCESSED","STATEID","TRANSID","APPLY","INDEXLINE","NROSTEALTH","FECHAACTIVACION","RAZON","ESTADOSAP","FILTRO","ERRORID","ERRORDESC"
37,2020-06-16 15:24:59.036,2020-06-16 15:24:59.036,323,323,143,1,7,,1,797,"20908777","10/06/2020",RDLVR,A,,,
38,2020-06-16 15:24:59.036,2020-06-16 15:24:59.036,323,323,63,1,7,,1,1230,"20871915","04/06/2020",RDLVR,A,,,
39,2020-06-16 15:24:59.036,2020-06-16 15:24:59.036,323,323,62,1,7,,1,1822,"20872054","05/06/2020",RDLVR,A,,,
40,2020-06-16 15:24:59.036,2020-06-16 15:24:59.036,323,323,65,1,7,,1,1913,"20873548","05/06/2020",RDLVR,A,,,
41,2020-06-16 15:24:59.036,2020-06-16 15:24:59.036,323,323,158,1,7,,1,1920,"20914413","11/06/2020",RDLVR,A,,,
42,2020-06-16 15:24:59.052,2020-06-16 15:24:59.052,323,323,145,1,7,,1,2146,"20909340","10/06/2020",RDLVR,A,,,
43,2020-06-16 15:24:59.052,2020-06-16 15:24:59.052,323,323,154,1,7,,1,2152,"20911871","10/06/2020",RDLVR,A,,,
61,2020-06-18 09:06:13.100,2020-06-18 09:06:13.100,323,323,142,1,7,,1,142,"20908818","10/06/2020",RDLVR,A,,,
62,2020-06-18 09:06:13.116,2020-06-18 09:06:13.116,323,323,141,1,7,,1,192,"20908876","10/06/2020",RDLVR,A,,,
63,2020-06-18 09:06:13.116,2020-06-18 09:06:13.116,323,323,112,1,7,,1,1266,"20901645","09/06/2020",RDLVR,A,,,
