"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","DATEFROM","DATETO","DESCRIPTION"
21,2020-11-09 10:35:31.000,2020-11-09 10:35:31.000,,,2020-09-09 00:00:00.000,,PPOUT
22,2020-11-09 10:36:13.000,2020-11-09 10:36:13.000,,,2020-09-09 00:00:00.000,,MIGILI
1,2020-11-05 22:43:08.000,2020-11-05 22:43:08.000,,,2020-09-09 00:00:00.000,2020-11-07 22:47:36.000,Campaña no vigente
2,2020-11-05 22:52:56.000,2020-11-05 22:52:56.000,,,2020-11-05 22:52:56.000,2021-07-31 23:59:59.000,GME001
3,2020-11-05 22:52:56.000,2020-11-05 22:52:56.000,,,2020-11-05 22:52:56.000,2021-07-31 23:59:59.000,OUTBAN
4,2020-11-05 22:52:56.000,2020-11-05 22:52:56.000,,,2020-11-05 22:52:56.000,2021-07-31 23:59:59.000,OUTCON
41,2021-01-05 22:08:05.000,2021-01-05 22:08:05.000,,,2021-01-05 22:08:05.000,,ESPECIAL
42,2021-01-05 22:08:05.000,2021-01-05 22:08:05.000,,,2021-01-05 22:08:05.000,,PYME
43,2021-07-31 23:59:59.000,2021-07-31 23:59:59.000,,,2021-08-01 00:00:00.000,,TLMK01
72,2022-01-14 10:12:32.000,2022-01-14 10:12:32.000,,,2022-01-14 00:00:00.000,,OUTCON
