"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","DESCRIPTION","PROCESS_ID"
7,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Migra In,2
8,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Migra Out,2
9,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Referido Migra Out,2
10,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Referido Migra In,2
11,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Voz In,3
12,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Voz Out,3
13,2020-06-01 21:33:56.000,2020-06-01 21:33:56.000,,,Referido Voz Out,3
14,2020-06-01 21:33:57.000,2020-06-01 21:33:57.000,,,Referido Voz In,3
1,2019-10-11 14:10:32.000,2019-10-11 14:10:32.000,,,Porta In,1
2,2019-10-11 14:10:32.000,2019-10-11 14:10:32.000,,,Lead,1
3,2019-10-11 14:10:33.000,2019-10-11 14:10:33.000,,,Porta Out,1
5,2019-10-11 14:10:33.000,2019-10-11 14:10:33.000,,,Referido Out,1
6,2019-10-11 14:10:33.000,2019-10-11 14:10:33.000,,,Referido In,1
