"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","APPLYED","RECNROIGNORED","RECNROINTERFACE","RECNROPROCESS","RECORDSMODIF","IFQUEUE","URL","ISXLSX","USERID","COLSTATE","COLSDS","HASHEADER"
41,2020-12-21 09:17:19.260,2020-12-21 09:17:32.916,3092,3092,1,0,7,7,7,,,,,,,
61,2020-12-23 09:12:27.863,2020-12-23 09:12:32.785,3092,3092,1,0,5,5,5,,,,,,,
101,2021-01-05 12:26:32.961,2021-01-05 12:26:32.961,3092,3092,0,10,10,0,0,,,,,,,
122,2021-01-08 08:16:36.672,2021-01-08 08:16:36.672,3092,3092,0,0,20,20,20,,,,,,,
281,2021-01-20 09:32:19.827,2021-01-20 09:35:03.175,3092,3092,1,62,106,44,46,,,,,,,
341,2021-01-25 09:58:03.753,2021-01-25 10:21:58.970,3092,3092,1,117,224,107,108,,,,,,,
521,2021-02-08 12:22:54.990,2021-02-08 12:23:07.209,3092,3092,1,1,255,254,254,,,,,,,
565,2021-02-19 11:32:26.280,2021-02-19 11:32:29.561,3092,3092,1,0,5,5,5,,,,,,,
581,2021-02-22 08:34:04.735,2021-02-22 08:35:13.526,3092,3092,1,0,116,116,116,,,,,,,
622,2021-03-01 12:22:03.846,2021-03-01 12:22:13.971,3092,3092,1,1,8,7,7,,,,,,,
