"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","SDS","DISTRIBUTIONSTATE","MANID","ERRORID","STATEID","TRANSID","PROCESSED","ERRORDESC","APPLY"
41,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24816685SEC",En Ciclo de distribución,2370740,,6,,1,,1
42,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24838000SEC",En Ciclo de distribución,2426823,,6,,1,,1
43,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24833232SEC",En Ciclo de distribución,2412857,,6,,1,,1
44,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24832015SEC",En Ciclo de distribución,2415676,,6,,1,,1
45,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24836661SEC",En Ciclo de distribución,2426186,,6,,1,,1
46,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24836237SEC",En Ciclo de distribución,2425866,,6,,1,,1
47,2020-12-21 09:17:19.260,2020-12-21 09:17:19.260,3092,3092,"24830904SEC",entregado,2412007,,12,,1,,1
61,2020-12-23 09:12:27.863,2020-12-23 09:12:27.863,3092,3092,"24832015SEC",entregado,2415676,,12,,1,,1
62,2020-12-23 09:12:27.879,2020-12-23 09:12:27.879,3092,3092,"24836237SEC",entregado,2425866,,12,,1,,1
63,2020-12-23 09:12:27.879,2020-12-23 09:12:27.879,3092,3092,"24833327SEC",En Ciclo de distribución,2413972,,6,,1,,1
