"ID","TIPO_ARCHIVO_CODE","COMPANY_ID","USER_ID","STATUS_CODE","URL","ANDREANI_ID","ACTIVACIONES_ID","MICROST_ID","MIGUILI_ID","DISTRISDS_ID","CREATED_AT","UPDATED_AT","QUEUE_ORDER"
11753,2,42,302,2,C:/claro/gestor/files_to_process/302/2022-01-08 07.52.43-Microstrategy - 2019-11-06 - 01.xlsx,,,,,,2022-01-08 19:52:44.019,2022-01-08 19:56:03.149,0
11834,2,42,302,2,C:/claro/gestor/files_to_process/302/2022-01-22 07.03.57-Microstrategy 04086532PNA - 01.xlsx,,,,,,2022-01-22 19:03:57.477,2022-01-22 19:03:57.685,0
11857,2,42,302,2,C:/claro/gestor/files_to_process/302/2022-01-25 06.07.34-Microstrategy 04086532PNA - 01.xlsx,,,,,,2022-01-25 18:07:34.149,2022-01-25 18:07:34.320,0
11893,2,42,302,2,/claro/gestor/files_to_process/302/2022-02-08 03.40.55-test.xlsx,,,,,,2022-02-08 15:40:55.506,2022-02-08 15:40:56.111,0
11894,2,42,302,2,/claro/gestor/files_to_process/302/2022-02-08 03.46.26-test.xlsx,,,,,,2022-02-08 15:46:26.991,2022-02-08 15:46:27.462,0
11960,2,42,302,2,/claro/gestor/files_to_process/302/2022-02-15 06.52.13-Microstrategy 04086532PNA - 03.xlsx,,,,,,2022-02-15 18:52:13.371,2022-02-15 18:52:13.377,0
11961,2,42,302,2,/claro/gestor/files_to_process/302/2022-02-15 06.54.39-Microstrategy 04086532PNA - 03.xlsx,,,,,,2022-02-15 18:54:39.281,2022-02-15 18:54:39.288,0
11974,2,42,261,2,/claro/gestor/files_to_process/261/2022-02-16 05.08.45-Libro144.xlsx,,,,,,2022-02-16 17:08:45.434,2022-02-16 17:08:45.691,0
11975,2,42,261,2,/claro/gestor/files_to_process/261/2022-02-16 05.12.25-Libro144.xlsx,,,,,,2022-02-16 17:12:25.328,2022-02-16 17:12:35.485,0
12013,1,42,302,2,/claro/gestor/files_to_process/302/2022-02-25 11.19.43-Andreani 02 -  Consulta de Envios 19480414.xls,,,,,,2022-02-25 23:19:43.153,2022-02-25 23:19:45.024,0
