"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","APPLYED","RECNROIGNORED","RECNROINTERFACE","RECNROPROCESS","RECORDSMODIF","IFQUEUE","URL","ISXLSX","INITLINES","USERID","COLSTATE","COLNROSPN","COLFECHAGN"
41,2019-11-19 18:27:23.909,2019-11-19 18:27:23.909,161,161,0,12,13,1,1,,,,,,,,
101,2019-11-27 10:54:33.982,2019-11-27 10:54:33.982,63,63,0,5141,5141,0,0,,,,,,,,
201,2019-12-09 10:31:35.472,2019-12-09 10:31:35.472,63,63,0,4167,4167,0,0,,,,,,,,
241,2019-12-10 09:08:40.986,2019-12-10 09:08:40.986,323,323,0,8379,8379,0,0,,,,,,,,
281,2019-12-11 09:19:49.561,2019-12-11 09:19:49.561,323,323,0,8570,8570,0,0,,,,,,,,
442,2019-12-23 12:05:27.345,2019-12-23 12:05:27.345,701,701,0,46502,46502,0,0,,,,,,,,
443,2019-12-23 14:08:07.033,2019-12-23 14:08:07.033,701,701,0,46501,46501,0,0,,,,,,,,
501,2019-12-27 09:51:17.210,2019-12-27 09:52:17.629,302,302,1,46718,46727,9,9,,,,,,,,
502,2019-12-27 17:14:52.458,2019-12-27 17:15:03.637,323,323,1,10296,10297,1,1,,,,,,,,
521,2019-12-30 09:22:43.494,2019-12-30 09:22:43.494,323,323,0,10593,10593,0,0,,,,,,,,
