"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","APPLYED","RECNROIGNORED","RECNROINTERFACE","RECNROPROCESS","RECORDSMODIF","IFQUEUE","URL","ISXLSX","USERID","INITLINES","COLSTATE","COLNROSTEALTH","COLFECHA"
41,2020-06-19 09:17:52.122,2020-06-19 09:18:01.268,1961,1961,1,885,910,25,25,,,,,,,,
101,2020-06-24 08:56:28.241,2020-06-24 08:56:32.900,1961,1961,1,1067,1088,21,21,,,,,,,,
141,2020-06-26 08:14:35.424,2020-06-26 08:14:39.393,1961,1961,1,1194,1234,40,40,,,,,,,,
201,2020-07-01 08:25:07.961,2020-07-01 08:25:15.195,1961,1961,1,1444,1532,88,88,,,,,,,,
221,2020-07-02 08:31:36.264,2020-07-02 08:31:44.077,1961,1961,1,17,70,53,54,,,,,,,,
261,2020-07-04 12:42:55.093,2020-07-04 12:43:10.984,323,323,1,1507,1538,31,31,,,,,,,,
262,2020-07-04 12:43:25.671,2020-07-04 12:43:34.578,323,323,1,162,257,95,95,,,,,,,,
281,2020-07-06 08:27:26.784,2020-07-06 08:27:31.253,1961,1961,1,251,260,9,9,,,,,,,,
341,2020-07-13 08:25:18.400,2020-07-13 08:25:24.713,1961,1961,1,423,527,104,104,,,,,,,,
381,2020-07-15 08:33:54.139,2020-07-15 08:34:00.702,1961,1961,1,604,643,39,39,,,,,,,,
