"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","MANID","ERRORDESC","PROCESSED","ERRORID","STATEID","TRANSID","APPLY","INDEXLINE","SRFORHID","SRFCREATIONDATE","ESTADO"
61,2020-06-19 09:17:52.122,2020-06-19 09:17:52.122,1961,1961,183,,1,,5,,1,96,"20961959","17/06/2020 ",OK
62,2020-06-19 09:17:52.122,2020-06-19 09:17:52.122,1961,1961,229,,1,,5,,1,101,"20971141","18/06/2020 ",OK
63,2020-06-19 09:17:52.122,2020-06-19 09:17:52.122,1961,1961,226,,1,,5,,1,102,"20971145","18/06/2020 ",OK
64,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,189,,1,,5,,1,105,"20974116","18/06/2020 ",OK
65,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,217,,1,,5,,1,375,"20967967","18/06/2020 ",OK
66,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,221,,1,,5,,1,405,"20968121","18/06/2020 ",OK
67,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,216,,1,,5,,1,457,"20967939","18/06/2020 ",OK
68,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,165,,1,,5,,1,498,"20956537","17/06/2020 ",OK
69,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,215,,1,,5,,1,500,"20967901","18/06/2020 ",OK
70,2020-06-19 09:17:52.137,2020-06-19 09:17:52.137,1961,1961,213,,1,,5,,1,549,"20967825","18/06/2020 ",OK
