"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","STATE_ID"
4,2020-06-02 16:57:39.192,2020-06-02 16:57:39.192,283,283,3
25,2020-06-03 17:47:50.385,2020-06-03 17:47:50.385,283,283,2
38,2020-06-04 14:28:21.078,2020-06-04 14:28:21.078,1882,1882,1
109,2020-06-11 11:17:53.344,2020-06-11 11:17:53.344,1882,1882,1
114,2020-06-12 10:33:08.719,2020-06-12 10:33:08.719,280,280,3
115,2020-06-12 10:34:37.277,2020-06-12 10:34:37.277,280,280,3
116,2020-06-12 10:35:24.267,2020-06-12 10:35:24.267,280,280,3
118,2020-06-12 10:38:38.397,2020-06-12 10:38:38.397,280,280,3
183,2020-06-15 10:10:17.869,2020-06-15 10:10:17.869,1901,1901,1
184,2020-06-15 10:48:20.830,2020-06-15 10:48:20.830,1901,1901,1
