"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","ACTIVE","NAME","COMPANY_ID","PARENT_ID"
42,2019-11-26 09:28:50.842,2019-11-26 09:28:50.842,2,2,1,Callcenter Conduent,42,1
43,2019-11-26 09:30:46.705,2020-07-30 10:29:31.126,2,2,1,Portabilidad OUT,42,42
44,2019-11-26 09:38:44.640,2019-11-26 09:38:52.998,2,2,1,Back Offices,42,43
45,2019-11-26 09:39:48.021,2019-11-26 09:39:48.021,2,2,1,Supervisor Ventas E1,42,44
46,2019-11-26 09:40:09.516,2019-11-26 09:40:20.900,2,2,1,Vendedores E1,42,45
48,2019-11-26 10:23:23.975,2019-11-26 10:26:23.089,2,2,1,Supervisor BO,43,47
122,2020-01-22 11:54:01.419,2020-01-22 11:54:01.419,2,2,1,CallCenter Dynatacphone,82,1
123,2020-01-22 11:55:01.021,2020-01-22 11:55:01.021,2,2,1,Supervisor BO,82,122
125,2020-01-22 11:55:30.904,2020-03-03 10:32:45.967,2,2,1,Supervisores Celula 27,82,124
126,2020-01-22 11:55:41.720,2020-03-03 10:33:07.952,2,2,1,Vendedores Celula 27,82,125
