"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","AMOUNT","DATEFROM","DATETO","DESCRIPTION","MARKET_ID"
61,2020-11-09 10:35:31.000,2020-11-09 10:35:31.000,,,0,2020-11-09 10:35:31.000,,PPP18,
81,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ALI23,
82,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ACI92,
83,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ACI93,
84,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ACI94,
85,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ACI95,
86,2020-12-28 21:45:39.000,2020-12-28 21:45:39.000,,,0,2020-12-29 00:00:00.000,2021-05-31 23:59:59.000,ACI96,
21,2019-11-06 17:15:06.000,2019-11-06 17:15:06.000,,,660,2019-10-29 00:00:00.000,2020-11-07 22:45:38.000,"ACI75 - 1GB - $660,00",2
22,2019-11-06 17:15:06.000,2019-11-06 17:15:06.000,,,790,2019-10-29 00:00:00.000,2020-11-07 22:45:38.000,"ACI76 - 3GB - $790,00",2
23,2019-11-06 17:15:06.000,2019-11-06 17:15:06.000,,,1200,2019-10-29 00:00:00.000,2020-11-07 22:45:38.000,"ACI77 - 5GB - $1.200,00",2
