"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","DATEFROM","DATETO","DESCRIPTION"
21,2020-11-09 10:35:31.000,2020-11-09 10:35:31.000,,,2020-09-09 00:00:00.000,,"2068"
22,2020-11-09 10:36:13.000,2020-11-09 10:36:13.000,,,2020-09-09 00:00:00.000,,"1157"
1,2020-11-05 22:43:08.000,2020-11-05 22:43:08.000,,,2020-09-09 00:00:00.000,2020-11-07 22:46:44.000,Promoción no vigente
2,2020-11-05 22:53:14.000,2020-11-05 22:53:14.000,,,2020-11-05 22:53:14.000,,"3054"
3,2020-11-05 22:53:14.000,2020-11-05 22:53:14.000,,,2020-11-05 22:53:14.000,,"3055"
4,2020-11-05 22:53:14.000,2020-11-05 22:53:14.000,,,2020-11-05 22:53:14.000,,"4000"
5,2020-11-05 22:53:15.000,2020-11-05 22:53:15.000,,,2020-11-05 22:53:15.000,,"4001"
41,2021-01-05 22:08:05.000,2021-01-05 22:08:05.000,,,2021-01-05 22:08:05.000,,"3062"
42,2021-01-05 22:08:05.000,2021-01-05 22:08:05.000,,,2021-01-05 22:08:05.000,,"3063"
81,2021-07-31 16:25:34.000,2021-07-31 16:25:34.000,,,2021-07-31 16:25:34.000,,"4094"
82,2021-07-31 16:25:38.000,2021-07-31 16:25:38.000,,,2021-07-31 16:25:38.000,,"4095"
83,2021-08-10 00:00:00.000,2021-08-10 00:00:00.000,,,2021-08-10 00:00:00.000,,"4090"
84,2021-08-10 00:00:00.000,2021-08-10 00:00:00.000,,,2021-08-10 00:00:00.000,,"4091"
61,2021-05-31 22:52:52.000,2021-05-31 22:52:52.000,,,2021-05-31 22:52:52.000,,"3064"
62,2021-05-31 22:52:52.000,2021-05-31 22:52:52.000,,,2021-05-31 22:52:52.000,,"3065"
131,2022-01-14 10:49:45.000,2022-01-14 10:49:45.000,,,2022-01-14 10:49:45.000,,"5032"
132,2022-01-14 10:49:45.000,2022-01-14 10:49:45.000,,,2022-01-14 10:49:45.000,,"5033"
151,2022-04-06 09:33:36.000,2022-04-06 09:33:36.000,,,2022-04-06 09:33:36.000,,"7000"
152,2022-04-06 09:33:36.000,2022-04-06 09:33:36.000,,,2022-04-06 09:33:36.000,,"7001"
101,2021-10-01 17:13:40.000,2021-10-01 17:13:40.000,,,2021-10-01 00:00:00.000,,"5011"
102,2021-10-01 17:13:40.000,2021-10-01 17:13:40.000,,,2021-10-01 00:00:00.000,,"5010"
172,2022-11-15 17:06:32.000,2022-11-15 17:06:32.000,,,2022-11-15 00:00:00.000,,"4160"
