"ID","NAME","LDAPROLE"
ROL_BO_EXPORT,Back Office Exportador,GESTOR_BO_EXPORT
ROL_VEND_MIGRA_CC,Vendedor Migración Call Center,GESTOR_VEND_MIGRA_CC
ROL_VEND_VOZ_CC,Vendedor Voz Call Center,GESTOR_VEND_VOZ_CC
ROL_ADMIN_PARAMETRIA,Administrador Parametría,GESTOR_ADMIN_PARAMETRIA
ROL_ADMIN_CLARO,Administrador CLARO,GESTOR_ADMIN_CLARO
ROL_ADMIN_PARAMETRIA_TECNICA,Supervisor Parametría Técnica,GESTOR_ADMIN_PARAMETRIA_TECNICA
ROL_ADMIN_CC,Administrador Call Center,GESTOR_ADMIN_CC
ROL_SUP_CLARO,Supervisor CLARO,GESTOR_SUP_CLARO
ROL_SUP_CC,Supervisor Call Center,GESTOR_SUP_CC
ROL_BO_CC,BackOffice Call Center,GESTOR_BO_CC
ROL_SUPERVISOR_VEND_CC,Supervisor Vendedores Call Center,GESTOR_SUPERVISOR_VEND_CC
ROL_VEND_CC,Vendedor Portabilidad Call Center,GESTOR_VEND_PORTA_CC
ROL_ADMIN_IMPORT,Administrador de Importaciones,GESTOR_ADMIN_IMPORT
ROL_DASHBOARD_CLARO,Acceso a Dashboard CLARO,GESTOR_DASHBOARD_CLARO
ROL_DASHBOARD_CC,Acceso a Dashboard CC,GESTOR_DASHBOARD_CC
