"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","STATE_ID"
10,2020-06-02 20:49:21.932,2020-06-02 20:49:21.932,627,627,1
25,2020-06-03 14:21:03.619,2020-06-03 14:21:03.619,1882,1882,1
39,2020-06-03 18:04:49.788,2020-06-03 18:04:49.788,547,547,1
40,2020-06-03 18:04:53.106,2020-06-03 18:04:53.106,627,627,1
41,2020-06-03 18:07:12.756,2020-06-03 18:07:12.756,547,547,1
57,2020-06-03 19:12:39.779,2020-06-03 19:12:39.779,547,547,1
60,2020-06-03 19:47:34.809,2020-06-03 19:47:34.809,1787,1787,2
62,2020-06-03 19:54:40.969,2020-06-03 19:54:40.969,547,547,1
65,2020-06-03 20:17:16.739,2020-06-03 20:17:16.739,547,547,1
69,2020-06-04 11:20:06.991,2020-06-04 11:20:06.991,1882,1882,1
